Library Code ,Name of Library ,Street Address ,City (of street address),ZIP Code (of street address) ,County of the Entity,Telephone (include area code) ,Library’s main website address ,GEOCODE,Population of Legal Service Area ,Number of Central Libraries,Number of Branch Libraries,Number of Bookmobiles ,FTE of Librarians with ALA-accredited master’s degree ,Total FTE of Librarians,FTE of All Other Paid Staff ,Total FTE of Paid Employees,Number of individuals who worked for the library this fiscal year,Number of hours volunteers worked for the library this fiscal year,Operating Revenue - Total,Operating Expenditures - Total,Capital Revenue - Total,Capital Expenditures - Total,Print Materials ,Electronic Books (e-Books) ,Audio Materials - Physical Units,Audio Materials - Downloadable Units,Video Materials - Physical Units,Video Materials - Downloadable Units,Other Library Materials ,Total Library Collection,Licensed Databases paid by the State Library,Licensed Databases paid by other cooperative agreements (or consortia),Total Licensed Databases,Number of Current Print Serial Subscriptions ,Public Service Hours Per Year (all outlets) ,Weekly Scheduled Public Service Hours (all outlets) ,Library Visits ,Reference Transactions ,Number of registered borrowers,Circulation of Electronic Materials,Circulation of Physical Materials,Total Circulation,Circulation of Children’s Materials,Number of Items Provided To Other Libraries ,Number of Items Received From Other Libraries ,Total Number of Library Programs,Number of Children’s Programs ,Number of YA Programs ,Total Attendance at Library Programs,Attendance at Children’s Programs ,Attendance at YA Programs ,Number of Internet terminals for the general public,Number of patrons that used public Internet computers,Number of times patrons used the wireless network,Maintenance of Effort,Tax Rate,Total Materials Per Capita,Circulation Per Capita,Reference Transactions Per Capita,Visits Per Capita,Operating Expenditures Per Capita
MORGAN1100,MORGAN COUNTY LIBRARY,50 NORTH 100 WEST,MORGAN,84050,MORGAN,8018293481,LIBRARY.MORGAN-COUNTY.NET,CO1,9821,1,0,0,0,2.95,0.95,3.9,41,641,167790,160740,5500,5500,39728,4297,2906,8979,3174,141,5017,64242,41,,41,26,2005,40,59440,1541,4427,2079,119050,121129,62895,0,406,207,192,5,4509,3881,155,8,7040,462,156135,0.000191,6.54,12.33,0.16,6.05,16.37
SANPET1500,MT. PLEASANT PUBLIC LIBRARY,24 EAST MAIN STREET,MT. PLEASANT,84647,SANPETE,4354623240,WWW.MTPLEASANTLIB.ORG,CI1,3278,1,0,0,0,1,1.35,2.35,111,1391,109069,109069,11365,11365,28549,4297,2395,8979,2173,141,445,46979,41,,41,50,1400,28,41450,13500,2525,1272,69461,70733,44562,0,183,244,236,6,6664,6427,230,15,4636,,97214,0.000881,14.33,21.58,4.12,12.64,33.27
SLTLAK1100,MURRAY PUBLIC LIBRARY,166 EAST 5300 SOUTH,MURRAY,84107,SALT LAKE,8012642574,WWW.MURRAYLIBRARY.ORG,CI1,48263,1,0,0,5,5,14,19,37,343,1706803,1525016,0,0,52748,5578,6178,8979,10808,141,17,84449,41,,41,107,2999,60,274617,34132,54719,12980,561002,573982,231669,0,94,545,453,68,22079,19783,1723,31,51352,45850,1471643,0.000434,1.75,11.89,0.71,5.69,31.6
JUABCO1200,NEPHI PUBLIC LIBRARY,21 EAST 100 NORTH,NEPHI,84648,JUAB,4356231312,HTTP://WWW.NEPHI.UTAH.GOV/LIBRARY/INDEX.HTML,CI1,5438,1,0,0,0,0.63,1.4,2.03,38,416,77737,71881,0,0,23279,4297,1414,8979,1381,141,0,39491,41,,41,15,1896,38,32000,6000,3156,2033,62558,64591,31295,0,140,76,59,10,2239,1974,34,8,6369,688,67750,,7.26,11.88,1.1,5.88,13.22
CACHCO1800,NEWTON TOWN LIBRARY,51 SOUTH CENTER STREET,NEWTON,84327,CACHE,4355639283,HOME.COMCAST.NET/~NEWTONLIB/,CI1,787,1,0,0,0,0.38,0.47,0.85,182,630,34357,32954,17331,17331,19711,4297,537,8979,441,141,89,34195,41,,41,0,1173,23,9880,4935,355,431,15655,16086,,0,2,76,71,2,1732,1628,50,9,2197,1947,24154,,43.45,20.44,6.27,12.55,41.87
CACHCO1700,NORTH LOGAN CITY LIBRARY,475 EAST 2500 NORTH,NORTH LOGAN,84341,CACHE,4357557169,WWW.NORTHLOGANLIBRARY.ORG/,CI1,8765,1,0,0,2,2,3.8,5.8,20,461,463685,561629,3000,6602,52872,4297,2168,8979,5710,141,234,74401,41,,42,70,2152,44,156000,,5221,1999,339475,341474,266016,0,68,163,112,31,8685,5086,829,18,9000,,392344,0.000749,8.49,38.96,0,17.8,64.08
UTAHCO1400,OREM PUBLIC LIBRARY,58 NORTH STATE STREET,OREM,84057,UTAH,8012297050,WWW.OREMLIBRARY.ORG,CI1,90749,1,0,0,5,6.5,35.5,42,778,11288,3056140,3056140,55526,55526,244179,5055,44507,9090,34928,141,2639,340539,41,,69,236,3429,69,452995,208728,68311,36476,1074741,1111217,484103,0,639,959,549,11,57965,35157,459,35,35981,12900,3012806,,3.75,12.24,2.3,4.99,33.68
SUMMIT1200,PARK CITY LIBRARY,1255 PARK AVENUE,PARK CITY,84060,SUMMIT,4356155600,WWW.PARKCITYLIBRARY.ORG,CI1,7862,1,0,0,3,3,8.37,11.37,102,1554,894425,894425,3419,3420,52483,4297,3675,8979,3118,141,415,73108,41,,44,178,3236,64,110995,2249,9695,480,77435,77915,31535,648,300,329,218,5,6216,4217,30,20,15550,22737,846859,,9.3,9.91,0.29,14.12,113.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.45,38.96,6.27,18.45,113.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0,0,0,0
IRONCO1300,PAROWAN PUBLIC LIBRARY,16 SOUTH MAIN STREET,PAROWAN,84761,IRON,4354773491,PAROWANLIBRARY.ORG,CI1,2827,1,0,0,0,1,0.8,1.8,42,87,115762,106066,0,0,22179,4297,2328,8979,0,141,0,37924,41,,41,21,2673,54,31000,2799,1698,696,18389,19085,8972,10,199,45,41,0,2200,1780,0,8,21400,3800,86000,,13.41,6.75,0.99,10.97,37.52
UTAHCO1500,PAYSON CITY LIBRARY,66 SOUTH MAIN STREET,PAYSON,84651,UTAH,8014655220,WWW.PAYSONLIBRARY.ORG,CI1,18938,1,0,0,1,2,3.9,5.9,22,997,292412,292412,0,0,34917,4297,1934,8979,2730,141,0,52998,41,,41,61,2552,51,35341,12368,11691,3265,140241,143506,97953,0,104,149,112,1,3959,3776,27,12,8895,,286277,,2.8,7.58,0.65,1.87,15.44
PIUTCO1100,PIUTE COUNTY BOOKMOBILE LIBRARY,25 SOUTH 200 EAST,PANGUITCH,84759,PIUTE,4356762431,HTTP://BOOKMOBILES.UTAH.GOV/MULTI_COUNTY/INDEX.HTML,CO2,1524,0,0,1,0,0.09,0.09,0.18,,,19344,19344,0,0,21267,4297,1637,8979,1513,141,5,37839,41,,41,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,13566,,24.83,0,,,12.69
UTAHCO1600,PLEASANT GROVE PUBLIC LIBRARY,30 EAST CENTER STREET,PLEASANT GROVE,84062,UTAH,8017853950,HTTP://LIBRARY.PLGROVE.ORG/,CI1,34519,1,0,0,1,3,13.8,16.8,287,3831,603695,586200,0,0,77648,5099,4980,8979,4600,141,130,101577,41,,46,61,3248,64,165775,24400,26095,12403,377690,390093,239215,0,40,620,578,24,24228,23574,392,10,24929,6100,578384,,2.94,11.3,0.71,4.8,16.98
MILLRD1300,PRESIDENT MILLARD FILLMORE LIBRARY,25 SOUTH 100 WEST,FILLMORE,84631,MILLARD,4357435314,WWW.FILLMORELIBRARY.ORG,CI1,3973,1,0,0,0,1,1,2,62,453,175700,167831,0,0,24754,4297,1390,8979,456,141,0,40017,41,,41,9,2104,43,22951,4990,2301,795,29878,30673,16776,3,164,55,44,3,6352,5062,25,11,4978,160,131603,,10.07,7.72,1.26,5.78,42.24
CARBON1300,PRICE CITY LIBRARY,159 EAST MAIN STREET,PRICE,84501,CARBON,4356363188,www.priceutah.net/Library,CI1,8621,1,0,0,1,3,4,7,7,18,322653,322653,0,0,62853,4297,3336,8979,3460,141,0,83066,41,,41,45,2795,55,62235,6290,3683,917,66313,67230,24287,226,463,185,181,4,4023,3960,63,22,12013,,314719,,9.64,7.8,0.73,7.22,37.43
UTAHCO1700,PROVO CITY LIBRARY,550 NORTH UNIVERSITY AVENUE,PROVO,84601,UTAH,8018526651,WWW.PROVOLIBRARY.COM,CI1,115919,1,0,0,8.25,21,31.1,52.1,230,2242,3813625,4014837,0,0,235307,8797,16484,9879,14712,141,351,285671,41,,52,253,3500,69,1000000,125800,83044,44793,1549589,1594382,847816,860,450,956,756,21,81679,69254,781,98,184736,22790,3424861,0.000766,2.46,13.75,1.09,8.63,34.63
RICHCO1100,RICH COUNTY BOOKMOBILE LIBRARY,5 NORTH MAIN STREET,RANDOLPH,84064,RICH,4357932122,HTTP://BOOKMOBILES.UTAH.GOV/CACHE/INDEX.HTML,CO2,2267,1,0,1,0,0.1,,,,,,,,,24461,4297,1255,8979,2053,141,4,41190,41,,41,0,,,,,462,406,2008,2414,754,0,27,,,,,,,,,,,,18.17,1.06,,,
SEVIER1300,RICHFIELD PUBLIC LIBRARY,83 EAST CENTER STREET,RICHFIELD,84701,SEVIER,4358965169,RICHFIELDLIBRARY.COM,CI1,7520,1,0,0,0,2,0.25,2.25,42,316,142744,137045,12296,12296,28765,4297,1361,8976,1764,141,4,45308,41,,41,35,1992,40,48250,8100,4081,2825,49923,52748,25347,0,442,139,134,0,3701,3482,0,12,9422,,132588,,6.03,7.01,1.08,6.42,18.22
CACHCO1500,RICHMOND PUBLIC LIBRARY,38 WEST MAIN STREET,RICHMOND,84333,CACHE,4352585525,RICHMONDLIBRARY.US,CI1,2514,1,0,0,0,0.75,1,1.75,41,270,70236,70236,0,0,21060,4297,863,8979,1627,141,84,37051,41,,41,13,1552,32,15140,150,1355,796,44489,45285,26525,0,177,65,51,8,1924,1549,141,9,3791,,65879,,14.74,18.01,0.06,6.02,27.94
UTAHCO2201,SALEM CITY LIBRARY,59 SOUTH MAIN STREET,SALEM,84653,UTAH,8014232622,WWW.SALEMCITYLIBRARY.ORG,CI1,6762,1,0,0,0,1,1,2,58,1426,100243,100243,38655,38655,17411,4297,1002,8979,1283,141,7,33120,41,,42,0,2327,47,35800,680,3345,1290,71074,72364,42031,0,278,114,106,5,2895,2680,143,6,6887,700,83468,,4.9,10.7,0.1,5.29,14.82
SEVIER1400,SALINA PUBLIC LIBRARY,90 WEST MAIN STREET,SALINA,84654,SEVIER,4355297753,http://www.salinacity.org/library/,CI1,4241,1,0,0,0,1,0.9,1.9,2,55,81056,75556,11416,11416,12451,4297,1451,8979,543,141,0,27862,41,,41,33,1660,33,11143,482,1481,690,15600,16290,,0,68,55,55,0,836,803,0,6,3343,3270,71600,,6.57,3.84,0.11,2.63,17.82
SLTLAK1200,SALT LAKE CITY PUBLIC LIBRARY,210 EAST 400 SOUTH,SALT LAKE CITY,84111,SALT LAKE,8015248200,WWW.SLCPL.ORG,CI1,189314,1,5,0,27.65,36.67,156.75,193.42,375,16242,13225891,13225891,1723336,1723336,520363,10917,73151,11075,90446,0,2357,708309,41,,69,1600,18710,378,3492790,366300,170657,161100,3331818,3492918,983090,3015,879,2932,2222,46,97823,78169,1907,205,439062,,13124537,0.00082,3.74,18.45,1.93,18.45,69.86
SLTLAK1300,SALT LAKE COUNTY LIBRARY SYSTEM,8030 SOUTH 1825 WEST,WEST JORDAN,84088,SALT LAKE,8019447646,WWW.SLCOLIBRARY.ORG,CO1,826265,0,19,0,95.25,98,292.75,390.75,4176,24342,40197170,34378297,0,0,1709282,43156,196822,21745,190120,141,1181,2162447,41,,65,4314,56828,1170,4388104,675402,565421,1049322,14519593,15568915,6211261,3963,2558,7650,5890,1760,228389,206260,22129,420,797497,,33034144,0.000755,2.62,18.84,0.82,5.31,41.61
SNJUAN1100,SAN JUAN COUNTY LIBRARY,25 WEST 300 SOUTH,BLANDING,84511,SAN JUAN,4356782335,HTTP://WWW.SANJUANCOUNTY.ORG/LIBRARY.HTML,CO1,14965,0,7,0,1,2,5.5,7.5,25,250,482050,482050,495068,495068,69300,4297,3500,8979,6500,141,0,92717,41,,41,90,7488,144,79500,8335,10900,1547,136200,137747,75000,0,1270,250,180,35,6300,5000,1000,42,25000,,473321,0.000524,6.2,9.2,0.56,5.31,32.21
SANPET1100,SANPETE COUNTY BOOKMOBILE LIBRARY,75 SOUTH STATE STREET,FAIRVIEW,84629,SANPETE,4354279305,HTTP://BOOKMOBILES.UTAH.GOV/SANPETE/INDEX.HTML,CO2,13461,1,0,1,0,1,0.7,1.7,15,1469,209296,209296,0,0,19475,4297,815,8979,988,141,608,35303,41,,41,0,1969,41,,550,6923,589,53995,54584,37610,0,491,13,7,6,150,124,26,4,,140,84323,0.000062,2.62,4.05,,,15.55
UTAHCO1800,SANTAQUIN CITY LIBRARY,20 WEST 100 SOUTH,SANTAQUIN,84655,UTAH,8017543030,WWW.SANTAQUINLIBRARY.ORG,CI1,9674,1,0,0,0,1,1.7,2.7,38,160,124173,122883,0,0,14010,4297,308,8979,552,141,190,28477,41,,41,7,2024,41,49272,4025,4885,1400,59143,60543,32455,0,21,148,144,2,3523,3465,28,8,9023,299,111214,0.0003,2.94,6.26,0.42,5.09,12.7
UTAHCO2400,SARATOGA SPRINGS PUBLIC LIBRARY,1307 N COMMERCE DR.,SARATOGA SPRINGS,84045,UTAH,8017666513,www.saratogaspringslibrary.blogspot.com,CI1,21137,1,0,0,0,0,0.5,0.5,33,2813,215083,215083,0,0,21555,4297,100,8979,1500,141,0,36572,41,,41,0,1000,20,26397,8112,4509,2121,72725,74846,59450,0,28,62,52,2,5145,3325,20,3,,500,215083,,1.73,3.54,0.38,1.25,10.18
SEVIER1100,SEVIER COUNTY BOOKMOBILE LIBRARY,79 NORTH 100 WEST,BICKNELL,84715,SEVIER,4354253170,HTTP://BOOKMOBILES.UTAH.GOV/TRICOUNTY/INDEX.HTML,CO2,6763,0,0,1,0,0.3,0.23,0.53,,,58271,58271,0,0,21267,4297,1637,8979,1513,141,5,37839,41,,41,0,,,,,,,,,,0,22,0,0,0,0,0,0,1,,,39529,,5.6,0,,,8.62
CACHCO1600,SMITHFIELD LIBRARY,25 NORTH MAIN STREET,SMITHFIELD,84335,CACHE,4355633555,http://www.smithfieldcity.org/library.main.html,CI1,9988,1,0,0,0,1.7,0.3,2,40,475,152548,152548,0,0,30099,4297,1358,8979,821,141,433,46128,41,,41,34,1935,39,55233,100,4018,2729,92313,95042,40760,0,128,135,121,14,3935,3738,197,11,5523,140,147281,,4.62,9.52,0.01,5.53,15.27
UTAHCO1900,SPANISH FORK PUBLIC LIBRARY,49 SOUTH MAIN STREET,SPANISH FORK,84660,UTAH,8018044480,http://www.spanishfork.org/dept/library/,CI1,36277,1,0,0,1,3,6.5,9.5,48,838,517957,517957,0,0,63526,4297,5044,8979,6603,141,256,88846,41,,42,88,2602,52,254327,,11629,8043,471671,479714,236897,6,188,452,425,14,16198,14780,381,15,18500,1700,447462,,2.45,13.22,,7.01,14.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,10.23,0.71,5.76,26.99
UTAHCO2000,SPRINGVILLE PUBLIC LIBRARY,45 SOUTH MAIN STREET,SPRINGVILLE,84663,UTAH,8014892720,HTTP://WWW.SPRINGVILLELIBRARY.ORG/,CI1,30621,1,0,0,3.5,5,9.3,14.3,100,2757,884399,916129,0,0,80527,4297,7423,8979,5213,141,200,106780,41,,42,115,2906,58,308531,54280,22569,6899,642809,649708,288789,0,660,596,410,26,35688,30973,1682,50,60034,,878345,,3.49,21.22,1.77,,29.92
SUMMIT1100,SUMMIT COUNTY LIBRARY,1885 W. UTE BLVD.,PARK CITY,84098,SUMMIT,4356153947,WWW.THESUMMITCOUNTYLIBRARY.ORG,CO1,30141,1,2,1,3,9,8,17,129,464,1119108,1069906,0,0,84095,4297,6396,8979,10322,141,150,114380,41,,45,178,8805,170,267497,24802,29569,11297,372954,384251,181240,0,716,666,468,38,16131,13607,621,20,17608,,1047670,,3.79,12.75,0.82,8.87,35.5
TOOELE1200,TOOELE CITY PUBLIC LIBRARY,128 WEST VINE STREET,TOOELE,84074,TOOELE,4358822182,WWW.TOOELECITY.ORG/TCL/LIBRARY.HTML,CI1,32115,1,0,0,0,1,9.35,10.35,350,722,673656,673656,0,0,47439,5004,1526,9111,1928,141,131,65280,41,,43,19,2338,47,155000,9354,16169,8397,241268,249665,154560,0,63,388,294,63,22389,20270,1426,14,24477,1875,633196,,2.03,7.77,0.29,4.83,20.98
BXELDR1400,TREMONTON CITY LIBRARY,210 NORTH TREMONT STREET,TREMONTON,84337,BOX ELDER,4352579525,WWW.TREMONTONLIBRARY.ORG,CI1,7790,1,0,0,0,1,2.28,3.28,113,461,203028,203028,0,0,25444,4297,1845,8979,380,141,0,41086,41,,42,33,2032,42,60537,63143,4078,1834,59657,61491,30826,0,64,143,129,8,4045,3787,155,10,12257,6132,171605,0.000089,5.27,7.89,,,26.06
UINTAH1100,UINTAH COUNTY LIBRARY,204 E 100 N,VERNAL,84078,UINTAH,4357890091,WWW.UINTAHLIBRARY.ORG,CO1,34524,1,0,0,2,3,19,22,50,1000,1496595,1496807,167000,167000,94632,4297,12094,8979,23394,141,0,143537,41,,47,160,3312,66,350000,51000,35434,7893,391006,398899,103197,4,315,652,486,24,22174,17674,500,40,43110,41148,1486980,0.000365,4.16,11.55,1.48,10.14,43.36
UTAHCO1100,UTAH COUNTY BOOKMOBILE LIBRARY,125 WEST 400 NORTH,MAPLETON,84664,UTAH,8014894833,HTTP://BOOKMOBILES.UTAH.GOV,CO2,79073,1,0,1,0,1,0.65,1.65,45,,192702,192702,0,0,20952,4297,707,8979,2292,141,700,38068,41,,41,0,3448,66,,,4567,1286,64680,65966,42126,0,227,42,42,0,2714,2714,0,7,12520,390,104155,,0.48,0.83,0,0,2.44
WASTCH1100,WASATCH COUNTY LIBRARY,465 EAST 1200 SOUTH,HEBER CITY,84032,WASATCH,4356541511,WWW.WASATCH.LIB.UT.US,CO1,25273,1,0,0,0,1,8.4,9.4,22,590,907662,850417,40497,40497,76866,4297,5113,9077,4856,141,1515,101865,41,,46,125,2622,57,110810,30300,20787,3549,193148,196697,108515,0,110,293,142,72,11315,9615,810,18,15426,0,843440,0.00022,4.03,7.78,1.2,4.38,33.65
WASHCO1100,WASHINGTON COUNTY LIBRARY SYSTEM,88 WEST 100 SOUTH,ST. GEORGE,84770,WASHINGTON,4356345737,LIBRARY.WASHCO.UTAH.GOV,CO1,144809,1,6,0,3,22.2,23.25,45.45,161,4970,3557111,3345559,0,0,299019,6208,24902,9029,38513,141,17,377829,41,,45,262,17453,351,788552,65806,85099,39256,1527486,1566742,479703,789,124,1754,1372,85,50841,43830,1059,125,148232,24218,3080251,0.000289,2.61,10.82,0.45,5.45,23.1
WAYNCO1100,WAYNE COUNTY BOOKMOBILE LIBRARY,79 NORTH 100 WEST,BICKNELL,84715,WAYNE,4354253170,HTTP://BOOKMOBILES.UTAH.GOV/TRICOUNTY/INDEX.HTML,CO2,2737,1,0,1,0,0.22,0.17,0.39,4,105,42844,42844,0,0,21267,4297,1637,8979,1513,141,5,37839,41,,41,0,,,,,,305,47004,47309,26117,0,22,5,5,0,375,375,0,7,,,29064,,13.82,17.28,,0,15.65
WEBRCO1100,WEBER COUNTY LIBRARY SYSTEM,2464 JEFFERSON AVENUE,OGDEN,84401,WEBER,8013372617,WWW.WEBERPL.ORG,CO1,236640,1,5,0,21,21,64.5,85.5,545,10345,7204246,7987714,531150,531150,475076,47253,38125,12474,30783,149,48764,652624,41,,75,1008,19122,384,1794263,800147,113918,55701,1920229,1975930,800529,2443,303,2590,1317,53,93889,56572,1009,168,389756,73516,7760640,0.000686,2.76,8.35,,,33.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,10.4,0.89,6.58,29.19
