Seat,con_2015,lab_2015,ld_2015,ukip_2015,leave_share,born_in_uk,male,unemployed,degree,age_18to24
Hemel Hempstead,52.878,23.825,4.84,14.605,55.486562,88.54910985,49.15425296,4.155956638,16.07070809,8.221307174
Hemsworth,22.86,51.342,3.2,20.198,68.1255456,95.69350932,49.03594789,4.678074246,9.053427921,8.174436347
Hendon,49.019,41.515,2.192,5.229,41.5741753,55.85234845,48.65473931,4.808522568,26.53046379,10.21445014
Henley,58.462,12.523,11.234,10.875,43.0858202,90.8559277,49.16472416,2.245100824,26.39841622,6.247699669
Hereford and South Herefordshire,52.572,12.785,10.585,16.831,60.4175582,92.49682025,49.27378657,3.579861697,13.30866228,8.053994174
Hertford and Stortford,56.138,17.919,7.792,13.387,49.2372345,91.16492208,49.0239994,2.952400598,22.38597725,6.840906748
Hertsmere,59.284,22.429,5.544,12.743,50.8365256,82.98727395,48.27503474,3.705723595,20.56462219,7.960532235
Hexham,52.68,24.923,6.831,9.925,45.3367358,96.52788709,48.71714151,2.733836149,22.06185243,6.573010126
Heywood and Middleton,19.094,43.113,3.311,32.195,62.4256116,93.52416886,48.47633165,5.608558908,10.60432615,8.918705604
High Peak,44.962,35.327,4.704,11.441,50.5480277,96.41442591,49.260661,3.822582321,17.90206407,8.073317784
Hitchin and Harpenden,56.863,20.647,8.098,8.879,39.7935195,89.34311846,49.01663538,2.893927148,30.53231262,6.088929493
Holborn and St Pancras,21.877,52.92,6.473,4.989,26.6587436,59.71085652,49.41094941,4.774816603,39.91245768,16.60031554
Hornchurch and Upminster,48.973,20.101,2.717,25.304,69.4946937,91.02638897,47.99311592,4.356998966,10.47712037,8.42035665
Hornsey and Wood Green,9.253,50.908,31.771,2.2,24.98291,63.25533658,49.11408317,4.984903568,44.64482419,8.147093222
Horsham,57.316,11.417,11.677,13.999,49.4864101,91.19218455,49.10889943,2.708606964,19.07501952,6.609960267
Houghton and Sunderland South,18.46,55.127,2.055,21.513,62.4341858,98.01843636,48.16096182,5.33511689,8.038342938,8.427392474
Hove,39.924,42.291,3.564,6.253,32.9468448,83.95637224,49.29375558,3.763828764,28.6672803,7.790241897
Huddersfield,26.782,44.928,5.843,14.694,51.8508416,83.42637676,49.70722801,5.620755307,15.23138494,12.67734218
Huntingdon,53.019,18.326,7.823,16.938,53.4889703,88.90595044,50.00177519,3.309119289,16.52672425,8.195164383
Hyndburn,31.888,42.148,2.003,21.344,65.8191278,92.65898329,49.43780137,4.549059512,9.408078469,8.645966225
Ilford North,42.659,43.863,2.309,8.9,53.3092042,69.19747731,48.78008363,4.943343354,21.25487169,8.665646414
Ilford South,25.919,64.016,1.953,5.211,43.3097999,53.36665776,50.46895868,6.33174085,24.58379917,10.43003778
Ipswich,44.757,37.091,2.875,11.712,56.5157235,87.08842876,49.94816656,5.535198896,12.89044263,10.04651248
Isle of Wight,40.67,12.78,7.447,21.178,61.9463341,94.79477814,48.76432937,4.397124726,10.76659544,7.053122627
Islington North,17.193,60.241,8.092,4.003,21.6111236,65.383834770000007,48.71314113,5.652561737,43.25415344,10.4466072
Islington South and Finsbury,22.225,50.931,10.908,7.624,28.2831001,63.74980517,49.68243454,5.202256632,42.76156551,14.65963996
Jarrow,17.073,55.658,3.21,19.663,61.7773494,97.59548403,48.12515013,5.727045198,10.07235255,8.34134038
Keighley,44.309,38.094,2.689,11.526,53.3250953,90.43746783,48.6618631,4.412579056,15.89220779,7.588265569
Kenilworth and Southam,58.359,15.314,10.069,11.205,46.2056819,93.12808032,48.99178582,2.220742467,24.38220758,7.749315485
Kensington,52.254,31.119,5.633,4.471,31.2045861,47.68234521,49.46463156,4.54711155,46.26841476,9.5188936
Kettering,51.817,25.154,3.156,16.096,60.9883689,91.52286708,49.09975929,4.016489988,12.31937334,7.512169029
Kingston and Surbiton,39.237,14.47,34.454,7.292,40.8444531,72.81063033,48.95933967,3.319930816,29.29196763,11.67946306
Kingston upon Hull East,15.915,51.73,6.527,22.368,72.831563,96.14627408,49.482798,7.931981726,5.538552804,9.839346509
Kingston upon Hull North,15.016,52.81,8.985,16.306,59.7896657,89.23776275,49.91720545,7.441417733,12.35261823,16.59055193
Kingston upon Hull West and Hessle,17.486,49.197,9.964,19.85,67.9906801,89.72665848,50.58235683,8.036619361,8.599959827,9.933141183
Kingswood,48.316,29.602,3.796,14.822,57.1216387,95.51783461,49.19944948,3.026272032,11.20282348,7.921780021
Knowsley,6.637,78.119,2.937,9.803,52.3421607,98.00115485,47.20431142,6.85345456,6.994977043,9.641035512
Lancaster and Fleetwood,39.24,42.271,3.33,9.727,51.9890842,91.83612233,48.75476053,3.216542217,17.66915753,18.66358915
Leeds Central,17.295,54.959,3.394,15.721,45.960968,78.66748948,50.37440641,6.74779399,17.35688518,23.4133823
Leeds East,20.937,53.749,3.393,18.997,61.4443481,85.60691867,48.41588246,7.064601436,9.288730554,9.159618499
Leeds North East,32.898,47.912,5.32,7.674,37.4228476,81.88782191,48.12418158,4.603050685,30.82750425,8.052160629
Leeds North West,18.643,30.078,36.783,6.912,35.4060965,91.35637512,48.756666,3.132450629,24.56528569,25.58323775
Leeds West,20.116,48.034,3.891,18.489,53.2661381,90.21614982,49.56899338,5.972476539,15.90606942,12.77180355
Leicester East,22.955,61.134,2.565,8.925,54.0619991,56.72502764,49.08311832,6.266241284,12.8024122,9.597309252
Leicester South,20.957,59.799,4.63,8.341,42.4353547,66.17988549,49.67431489,5.802526907,19.52712071,19.76074509
Leicester West,25.63,46.495,4.365,17.235,50.8359919,76.93076682,49.36098479,6.559723857,13.67979317,12.99690293
Leigh,22.64,53.879,2.549,19.731,63.2878009,96.07367205,49.56940493,4.737219147,9.822961051,8.369175801
Lewes,38.002,9.893,35.859,10.738,47.1421738,92.9131894,48.37400218,3.200475334,19.03714832,6.515330189
Lewisham East,22.305,55.697,5.72,9.053,35.3705046,70.0046964,48.21439054,6.144159206,25.64147474,8.562119641
Lewisham West and Penge,24.172,50.591,7.707,7.821,34.5920578,72.30666176,48.65415641,5.91745337,28.56562713,7.92127782
"Lewisham, Deptford",14.878,60.245,5.265,4.245,24.4262123,61.04124013,49.59451195,6.305400713,34.3085223,12.18059507
Leyton and Wanstead,21.962,58.61,5.661,5.751,34.755182,56.91715539,50.40265686,5.879895165,27.86201124,10.85109855
Lichfield,55.16,19.819,5.246,15.703,57.5089022,96.39189117,49.20148411,3.308198579,16.6187088,6.634403398
Lincoln,42.636,39.556,4.252,12.211,57.4326337,90.73579476,49.02571144,4.656859713,12.33534825,15.86134256
"Liverpool, Riverside",9.59,67.404,3.884,5.671,27.300662,82.34597981,51.44361295,5.697812624,24.0132876,27.34075879
"Liverpool, Walton",4.692,81.301,2.341,8.971,52.1680356,95.08903304,49.60163699,8.030026966,7.161484453,10.26274544
"Liverpool, Wavertree",10.001,69.315,5.989,8.237,35.2616254,87.12363799,49.53060622,6.64810003,18.56395763,13.81296379
"Liverpool, West Derby",6.605,75.168,2.337,8.469,49.8207198,94.21562455,47.75616599,7.277991693,9.314955203,9.381799706
Loughborough,49.523,31.87,4.095,10.965,50.0904207,87.89336237,50.6811055,3.166188735,18.93103282,17.87511217
Louth and Horncastle,51.166,18.033,4.48,21.412,68.89943,96.67647211,48.7629664,3.584315273,8.648622311,6.687309697
Ludlow,54.289,12.28,13.459,14.905,57.8840184,96.47878195,49.33594164,2.825303917,15.85661956,6.453209517
Luton North,29.924,52.249,3.051,12.492,59.1531961,72.91580341,48.98076748,5.45404489,13.01410769,8.619766137
Luton South,30.673,44.201,7.54,12.149,54.5971778,66.90597205,51.17534943,5.809123486,15.41660858,12.57578508
Macclesfield,52.548,22.686,7.746,12.172,47.1837972,94.84603508,48.81631428,2.983854486,21.644052,6.594973624
Maidenhead,65.83,11.873,9.91,8.428,45.0257011,84.60351774,49.13923553,3.170930866,27.46158364,6.302446694
Maidstone and The Weald,45.481,10.534,24.067,15.857,55.9171965,89.02126979,49.34231569,3.329964214,15.40394708,7.910203103
Makerfield,19.541,51.817,3.659,22.446,64.910088,97.48375797,49.6680312,4.196538095,9.032954346,8.177022871
Maldon,60.593,11.843,4.49,14.657,60.9560321,95.73972094,49.38455128,3.08387591,12.13997419,7.056544703
Manchester Central,13.529,61.265,4.119,11.103,36.3565763,69.70057919,51.41670265,5.623642786,24.75189987,24.41895091
"Manchester, Gorton",9.669,67.082,4.241,8.172,38.212184,67.42117664,50.6376014,5.920863309,20.854334390000002,20.32590514
"Manchester, Withington",9.751,53.723,23.956,4.347,24.9385986,82.21182921,49.41640124,4.068402246,38.66969064,18.03209289
Mansfield,28.157,39.419,3.479,25.11,70.8629135,94.43168112,49.11454445,4.597239323,6.757326093,8.665977447
Meon Valley,61.059,10.936,9.643,14.821,51.9275309,94.34695036,48.77980927,2.565631546,17.33817925,6.958369963
Meriden,54.733,19.003,5.015,16.934,58.8084347,94.30820438,48.70430292,5.05308942,15.50188836,8.276699704
Mid Bedfordshire,56.052,15.875,7.222,15.443,52.8804536,92.14949911,49.87365288,2.750370844,18.28011782,7.335124499
Mid Derbyshire,52.186,25.423,4.802,13.612,52.4707075,95.94096818,48.71075834,2.876719065,17.87834578,6.806245396
Mid Dorset and North Poole,50.838,5.951,28.192,12.179,57.0831648,94.90426151,48.35567438,2.519489907,13.70407597,7.025361108
Mid Norfolk,52.107,18.358,6.32,19.019,60.5981283,94.27083333,49.42207532,3.199227821,10.41884944,7.163461538
Mid Sussex,56.126,13.884,11.487,11.998,46.4405928,89.75713975,48.88023369,2.490220274,19.52470748,6.665658294
Mid Worcestershire,56.99,14.453,7.18,17.675,59.3865282,94.01931099,49.12232409,3.242155259,14.80380347,6.896478709
Middlesbrough,16.474,56.821,3.73,18.672,66.0836466,89.40712726,49.47317957,8.373503685,9.700360962,13.31167102
Middlesbrough South and East Cleveland,37.054,42.019,3.424,15.183,65.2655299,97.29817077,48.40561912,5.887988209,11.32279743,8.022536789
Milton Keynes North,47.223,30.318,6.197,11.877,49.6650905,80.5284159,49.83004647,4.796678281,19.11870485,7.915565116
Milton Keynes South,46.822,32.111,3.917,13.237,53.081404,82.34965321,49.14385584,4.730644879,17.10631577,7.545877518
Mitcham and Morden,23.167,60.653,3.053,9.497,44.6865238,59.72042053,49.4307731,5.180209613,19.4070871,9.501636043
Mole Valley,60.635,8.279,14.474,11.21,47.3113276,89.94349331,48.82619722,2.448155408,25.32666434,6.01475277
Morecambe and Lunesdale,45.537,34.922,3.728,12.391,58.1856206,95.00587343,48.10054401,3.848657574,12.0070638,7.387977145
Morley and Outwood,38.914,38.039,2.955,16.479,59.8172774,95.69295182,48.852248350000004,3.629827045,13.14400539,7.402609516
New Forest East,56.26,12.171,9.355,17.508,60.1781451,94.43505945,48.83048535,2.882699309,13.24773434,7.267234098
New Forest West,59.945,10.827,6.946,16.486,55.2576565,93.45308859,47.18602882,2.349496167,14.69403791,5.937039327
Newark,57.042,21.72,4.56,12.034,55.7006959,94.25391916,49.83575407,3.298935119,15.55850737,7.182348363
Newbury,61.035,8.442,15.017,10.812,47.8055628,90.85039678,49.72137202,3.014200289,20.64281213,6.920579397
Newcastle upon Tyne Central,18.891,55.012,6.322,14.861,48.0030798,78.43275378,50.74765457,6.010163717,20.00746697,15.13666976
Newcastle upon Tyne East,17.551,49.406,11.045,12.518,41.0712554,87.77055937,50.92950026,4.666383778,22.51346024,28.75644687
Newcastle upon Tyne North,23.47,46.087,9.726,16.589,56.8289241,93.74883107,48.40310248,4.34458977,17.31668423,8.419605039
Newcastle-under-Lyme,36.91,38.421,4.247,16.866,61.6449863,93.98617123,49.35971668,3.785784425,12.99269085,12.50435662
Newton Abbot,47.239,9.815,23.957,13.939,56.0133703,95.54953967,48.42296876,3.037671011,12.73261645,7.255627254
"Normanton, Pontefract and Castleford",20.849,54.934,2.898,21.319,69.2552829,96.30486497,48.97709781,5.078129934,6.851260206,8.813843929
North Cornwall,44.956,5.433,31.232,12.687,60.1925003,95.45579133,48.40227496,3.179738046,11.49259473,6.901395583
North Devon,42.701,7.07,29.444,14.753,57.0384794,95.53097676,48.63826107,3.039684773,11.47483781,7.356913321
North Dorset,56.621,8.963,11.662,17.063,56.6086028,93.81619726,49.59042481,2.473105706,14.3940456,6.945560414
North Durham,20.931,54.917,5.096,15.952,60.304872,97.83617048,48.6712015,4.752484429,10.1851205,8.016527974
North East Bedfordshire,59.468,15.76,5.826,14.622,53.4376055,92.72167919,49.11406207,3.07879306,17.33279848,6.581253164
North East Cambridgeshire,55.087,14.438,4.469,22.499,69.3543227,91.49551506,49.19199829,4.154124758,6.907085829,7.71339076
North East Derbyshire,36.717,40.644,4.18,15.915,62.0516723,97.61313162,49.05228902,3.757075156,10.9518031,7.307929109
North East Hampshire,65.876,9.796,10.476,8.763,46.1789136,90.96358584,49.59568733,2.298289211,24.4830104,6.223397059
North East Hertfordshire,55.366,18.875,7.558,12.867,51.4300732,91.78263334,49.1268392,3.181062396,19.60917321,6.709275235
North East Somerset,49.773,24.829,7.883,12.033,51.6345075,95.27060362,48.80503,2.652829525,16.76006759,7.441743061
North Herefordshire,55.632,11.407,12.011,13.993,58.0189343,94.26295284,49.1527592,2.899155617,16.53139207,6.376693609
North Norfolk,30.874,10.206,39.056,16.854,58.4002867,95.9702286,48.44468073,3.369164925,10.31108052,6.246086597
North Shropshire,51.435,20.062,5.988,17.617,59.8481186,95.19986957,49.58376491,3.615883072,12.85517177,8.251812637
North Somerset,53.51,14.321,12.701,13.011,47.5836991,94.93884694,48.78813163,2.256949364,19.69657467,5.982010216
North Swindon,50.333,27.773,3.262,15.334,57.2856138,90.71429237,49.61942294,3.907864194,10.78596688,7.8770601
North Thanet,48.977,17.876,3.496,25.709,65.1825616,93.87733276,47.96641891,4.693377191,9.232452671,7.501203144
North Tyneside,19.217,55.942,4.432,16.272,59.5207188,96.0947453,48.42417828,5.583262057,11.64511486,8.137825601
North Warwickshire,42.303,36.028,2.064,17.426,67.76303,95.50725282,49.14587822,4.043863602,9.437571219,7.600462048
North West Cambridgeshire,52.488,17.884,5.694,20.09,56.934097,89.40037262,49.51183822,3.688283379,13.88126665,7.944922878
North West Durham,23.397,46.882,9.094,16.967,55.0462004,97.2915468,48.98338019,4.201348183,11.98768875,7.36981513
North West Hampshire,58.07,13.302,9.332,14.692,54.7548756,91.94145723,49.23454736,2.852333048,15.68507032,7.015823976
North West Leicestershire,49.478,27.415,3.944,16.885,60.6984777,96.09705996,49.57311593,3.443899877,13.14667968,7.170368468
North West Norfolk,52.199,22.754,3.532,17.758,65.7782861,91.65300029,48.47252008,3.830448872,8.915978239,7.474454396
North Wiltshire,57.239,9.752,15.61,11.498,50.3021498,93.15538694,49.4557731,2.688012957,18.77312698,6.702346273
Northampton North,42.371,34.138,3.555,16.122,60.2712901,84.76308706,48.60427882,4.711800927,12.65098446,10.67268424
Northampton South,41.567,31.813,4.303,18.295,58.9952188,80.7445388,49.64161726,5.184823365,13.56842161,10.22058431
Norwich North,43.705,33.467,4.345,13.732,56.7266216,92.68248008,49.35433648,4.177361798,10.66854756,8.487498855
Norwich South,23.48,39.273,13.633,9.366,40.5303001,86.47977656,48.92934726,4.538391904,22.56464624,17.03630909
Nottingham East,20.773,54.554,4.189,9.943,42.8793221,75.26837325,51.45314294,6.725847211,19.59373626,19.24231133
Nottingham North,21.003,54.56,2.397,18.51,63.808056,88.76627721,47.79041639,8.356126315,7.051041219,9.883164342
Nottingham South,31.66,47.618,3.525,11.273,46.4677648,77.79334084,51.50183553,4.474334974,19.50207026,28.35223788
Nuneaton,45.524,34.853,1.784,14.387,64.5059931,93.34145752,49.17879806,4.768997051,9.756463811,8.521616933
Old Bexley and Sidcup,52.798,18.993,3.517,18.242,62.4304876,90.08564664,47.98533098,3.390213583,12.65862447,8.99753969
Oldham East and Saddleworth,25.913,39.406,12.854,19.237,59.9204345,90.04931054,48.80365351,5.155998846,11.80143025,8.753850848
Oldham West and Royton,18.979,54.779,3.684,20.613,61.3082972,84.81815701,49.28860996,5.947758805,8.6135151,9.456614953
Orpington,57.416,15.592,6.791,16.669,57.5414984,90.00079001,48.08423714,3.42006374,16.31323884,7.077318948
Oxford East,19.878,50.023,10.758,6.808,32.5263375,72.34745868,49.55304254,3.473664138,31.84811434,21.66024605
Oxford West and Abingdon,45.684,12.706,28.946,6.923,38.029241,81.9540501,49.54569043,2.411937564,34.25914275,9.683445771
Pendle,47.197,34.928,3.345,12.183,63.1542958,89.14837008,49.20180656,4.674115456,10.41643235,8.805840004
Penistone and Stocksbridge,27.677,42.026,6.311,22.918,60.6512766,97.37563202,48.9721512,3.226356325,13.03890641,6.733470151
Penrith and The Border,59.657,14.362,8.527,12.188,55.2024096,96.76355642,49.41011236,2.284718766,14.98185968,6.702491451
Peterborough,39.69,35.601,3.768,15.9,61.3095947,75.35914187,49.50612577,5.455711675,9.470023186,9.495381843
"Plymouth, Moor View",37.6,35.192,2.969,21.481,66.44024,95.34022376,48.18962503,4.49167563,6.87677131,8.667293069
"Plymouth, Sutton and Devonport",37.779,36.689,4.187,14.034,54.4052353,89.23220719,51.07941088,4.852586237,15.99644262,19.46024919
Poole,50.102,12.875,11.757,16.787,57.4193151,91.18456143,48.92379412,3.376748673,14.72157597,7.453644401
Poplar and Limehouse,25.394,58.549,4.21,6.128,34.207637,54.61726669,51.92123966,6.886974151,37.41998822,12.97992155
Portsmouth North,47.021,23.807,6.23,19.079,63.6934145,92.39004362,49.08698999,4.111015982,10.23777386,8.789325122
Portsmouth South,34.807,19.531,22.299,13.352,51.7630344,83.6385428,51.4517193,4.370702541,18.22011352,21.58485938
Preston,19.983,56.037,3.717,15.355,55.6726597,83.77927833,50.67419287,5.457330785,12.97810984,17.12175564
Pudsey,46.413,37.575,3.782,9.207,48.5843639,94.5799336,48.17399133,3.043565056,21.9947014,7.410950425
Putney,53.764,29.986,6.346,4.646,27.7642331,62.87314232,47.43779177,3.53506244,44.21433183,9.91798364
Rayleigh and Wickford,54.656,12.599,3.048,22.281,67.6526737,96.06479579,48.97588134,2.928243195,9.06513804,6.997288191
Reading East,45.98,33.067,7.365,7.223,38.2533265,75.64939243,50.50278508,3.818905688,29.64778463,14.47506296
Reading West,47.686,33.948,4.865,9.97,51.5101462,82.14176611,49.28111789,4.515151925,18.29949144,7.990973324
Redcar,16.203,43.857,18.471,18.368,67.6748838,97.76979907,48.35094018,7.000172883,7.65782225,9.046238118
Redditch,47.102,31.106,3.059,16.175,60.9899582,92.31352521,49.69278633,4.434007563,11.1275554,8.199426832
Reigate,56.77,12.81,10.456,13.276,47.9769787,87.46442137,48.83421102,2.936441854,23.57203116,6.804320014
Ribble Valley,48.627,22.583,5.275,15.792,58.7308918,96.40148975,48.99875166,2.371686407,16.59278344,7.386850169
Richmond (Yorks),51.379,13.193,6.417,15.174,54.7104369,93.8062087,51.03773497,2.852782787,16.12881455,9.364311609
Richmond Park,58.212,12.345,19.27,4.169,28.6856313,70.13248207,48.54851685,3.054379149,46.22758857,7.312188693
Rochdale,17.042,46.139,10.273,18.752,57.4500359,84.35230277,49.42071332,6.234446457,10.28246683,9.479152173
Rochester and Strood,44.067,19.796,2.382,30.484,63.688123,90.7153917,49.90168232,4.537007369,11.05212868,10.19749029
Rochford and Southend East,46.416,24.686,3.346,20.519,60.9203445,89.61062318,48.943377,5.745455552,9.894572142,8.660811526
Romford,50.972,20.879,2.873,22.791,69.2856492,88.69272322,48.19071058,4.334904986,11.23960783,8.947379398
Romsey and Southampton North,54.31,11.879,17.714,11.387,46.0755865,87.05235721,49.56029012,2.416478196,22.05013746,13.106301
Rossendale and Darwen,46.604,35.071,1.644,13.997,58.9357362,95.93634997,49.2924895,4.131942013,13.46220583,7.992536153
Rother Valley,23.278,43.602,4.237,28.082,66.7219886,97.13871977,48.96943176,4.350016554,9.899565865,7.705479452
Rotherham,12.31,52.508,2.89,30.177,68.3459631,90.38317892,49.40967925,6.380138405,6.954516873,9.244456336
Rugby,49.055,27.946,5.665,13.988,58.6175818,88.22981077,49.86587122,3.665412199,15.10899235,7.406601829
"Ruislip, Northwood and Pinner",59.586,20.103,4.953,10.929,49.5438455,75.42148619,48.19667933,3.247878438,27.25001308,6.915574715
Runnymede and Weybridge,59.74,15.518,6.717,13.888,49.8469717,81.90712631,48.65850202,2.681564246,23.14264266,10.69190996
Rushcliffe,51.399,26.331,5.045,10.773,41.4661238,93.09836463,48.89904489,2.758169935,27.94119548,8.166338469
Rutland and Melton,55.643,15.353,8.071,15.893,53.8778694,94.17394923,49.66212869,2.617280588,17.38204951,6.873352754
Saffron Walden,57.2,11.798,10.561,13.785,51.2395335,92.94814582,49.22763071,2.737025304,19.06406345,6.887082062
Salford and Eccles,20.395,49.384,3.731,18.044,53.5934575,86.2353288,51.03550568,5.011655012,17.36655274,13.91115288
Salisbury,55.6,15.326,10.056,12.133,49.9081401,91.71566592,48.09722617,2.677711718,18.38097281,7.072285733
Scarborough and Whitby,43.179,30.191,4.523,17.097,61.31829,94.82746229,48.38756045,4.326247118,11.67243113,8.42616454
Scunthorpe,33.185,41.669,2.084,17.133,68.6755472,90.63387794,49.43012745,5.49315876,7.860298641,8.873168267
Sedgefield,29.528,47.203,3.539,16.598,59.4357506,97.40309156,48.67657551,4.321426264,10.13987031,7.663495838
Sefton Central,29.606,53.771,4.255,9.953,44.0885873,97.0433145,47.93903013,3.247026799,16.39189039,7.303436911
Selby and Ainsty,52.505,26.831,3.636,13.993,57.6526008,95.42792348,49.09650774,3.320097998,15.66718555,7.337168537
Sevenoaks,56.921,12.864,7.855,17.896,54.0405142,91.39578941,48.57381383,2.822985885,21.00365304,6.631631899
Sheffield Central,11.131,55.029,9.685,7.462,31.9119726,77.48690191,51.46941466,4.216646203,27.48247839,32.68363346
Sheffield South East,17.373,51.431,5.34,21.898,66.3178181,91.38164834,49.08306249,5.083298376,8.418860828,8.134053682
"Sheffield, Brightside and Hillsborough",11.003,56.583,4.499,22.111,59.9736792,85.29947078,48.87762626,7.236463423,9.41320443,9.279534063
"Sheffield, Hallam",13.597,35.8,40.041,6.444,34.0060651,92.56793053,48.57424236,2.331484867,31.73812656,13.67115806
"Sheffield, Heeley",16.153,48.204,11.287,17.397,57.1613101,92.7064387,48.50961847,5.654283481,13.95779682,9.005413733
Sherwood,45.037,35.871,2.158,14.594,63.6577392,97.05763719,48.94172593,4.008496741,10.18309017,7.670098716
Shipley,49.996,30.954,3.856,8.862,52.2113445,94.12141716,48.80957384,3.644342134,19.6633118,7.001765151
Shrewsbury and Atcham,45.521,27.842,7.889,14.441,52.9205779,94.40233635,49.37098318,3.395111254,16.23291585,7.832431482
Sittingbourne and Sheppey,49.465,19.59,3.165,24.823,65.3644888,94.35363767,49.67115305,4.833536958,7.561581501,8.382590999
Skipton and Ripon,55.441,17.389,7.436,14.023,53.1871441,94.34146636,48.92007334,2.367399201,18.49278265,6.491648701
Sleaford and North Hykeham,56.188,17.258,5.65,15.685,61.5831667,94.98901455,48.67994525,2.874053206,12.49835936,6.343646449
Slough,33.32,48.516,2.641,12.996,54.056915,60.74242063,49.9455419,5.402103197,17.90679623,9.068393411
Solihull,49.209,10.393,25.656,11.612,53.3483085,90.64229839,48.39349505,3.353754096,18.73810407,7.2902435820000004
Somerton and Frome,52.994,7.327,19.387,10.677,50.3281438,94.19759186,48.69566902,2.719431624,16.34388733,6.581228871
South Basildon and East Thurrock,43.401,25.208,2.974,26.533,72.9955717,93.53983032,48.86051648,4.781882726,7.155352044,8.779390211
South Cambridgeshire,51.111,17.647,15.223,9.766,38.4889637,88.08454834,49.29011812,2.211843497,30.09727472,7.21356562
South Derbyshire,49.379,26.782,3.717,17.726,60.351001,96.12095845,49.63799135,3.05975522,14.37886971,7.328957521
South Dorset,48.884,24.203,5.97,15.03,59.4456091,94.45537451,49.7048881,3.541548814,11.27584861,7.994652116
South East Cambridgeshire,48.474,15.146,20.179,11.08,45.3048188,88.82635325,49.65455353,2.567454131,23.14453442,7.00563692
South East Cornwall,50.529,9.291,16.874,15.244,55.0987058,95.98619688,48.62082274,3.041643566,13.4153821,6.513349074
South Holland and The Deepings,59.55,12.441,2.979,21.818,71.0714432,91.10194519,48.74586549,3.883928571,7.417289221,7.027681525
South Leicestershire,53.221,22.023,7.393,17.363,58.1420532,94.46890999,49.55017645,2.780979241,14.55743671,7.623639346
South Norfolk,54.26,18.385,8.209,13.737,50.8843534,95.15953276,48.78249977,2.722054976,14.98546602,6.375199861
South Northamptonshire,60.148,16.744,5.936,13.48,53.3380205,92.54987933,49.36165509,2.497117736,18.96746275,6.391739283
South Ribble,46.425,35.074,4.415,14.086,56.6389437,96.29150363,49.95737951,2.861418654,15.07319447,7.716876688
South Shields,16.603,51.259,1.762,21.991,62.0525327,95.80042287,48.49199213,6.924805075,8.947260113,9.298369261
South Staffordshire,59.434,18.362,2.919,16.668,65.2428172,97.20356628,49.23282259,3.40253005,12.33591448,8.124499493
